                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5238,                 2.9297,                 1.2079,                0.88904,                0.05812,                0.09507,                 0.0693,                 1.3112,                 3.6557,                 1.1705,             0.00015792,             0.00015792,             0.00015792
                     35,                 1.4845,                 3.0626,                 1.2329,                0.88762,                0.06545,                0.09363,                0.06764,                 1.3237,                 3.6318,                 1.1875,             0.00016007,             0.00016007,             0.00016007
                     36,                 1.5195,                 2.8938,                 1.2342,                0.88762,                0.06545,                0.09363,                0.06764,                 1.3237,                 3.6318,                 1.1875,             0.00016209,             0.00016209,             0.00016209
                     37,                 1.5038,                 2.9373,                 1.2312,                0.88783,                0.06412,                0.10592,                0.07826,                 1.3272,                 3.6062,                 1.2022,             0.00016397,             0.00016397,             0.00016397
                     38,                 1.4739,                 2.7551,                 1.2045,                0.89137,                0.06591,                0.11089,                0.08141,                 1.3294,                 3.5524,                 1.2112,             0.00016571,             0.00016571,             0.00016571
                     39,                 1.4061,                 2.7525,                 1.2026,                0.89137,                0.06591,                0.11089,                0.08141,                 1.3294,                 3.5524,                 1.2112,             0.00016732,             0.00016732,             0.00016732
                     40,                 1.4311,                 2.5477,                 1.2076,                0.88417,                0.08574,                 0.1174,                0.08712,                 1.3356,                 3.4785,                 1.2216,             0.00016879,             0.00016879,             0.00016879
                     41,                 1.4176,                 2.6381,                 1.1886,                0.88544,                0.08898,                0.12173,                0.09107,                 1.3348,                 3.3911,                   1.22,             0.00017012,             0.00017012,             0.00017012
                     42,                 1.4483,                 2.6364,                 1.2049,                0.88544,                0.08898,                0.12173,                0.09107,                 1.3348,                 3.3911,                   1.22,             0.00017132,             0.00017132,             0.00017132
                     43,                 1.3034,                 2.6718,                 1.1734,                0.92894,                0.08936,                0.13549,                0.09984,                  1.329,                 3.3097,                 1.2218,             0.00017238,             0.00017238,             0.00017238
                     44,                 1.3939,                 2.3597,                 1.1836,                0.92894,                0.08936,                0.13549,                0.09984,                  1.329,                 3.3097,                 1.2218,              0.0001733,              0.0001733,              0.0001733
                     45,                 1.4459,                 2.5588,                 1.2117,                0.92541,                0.09648,                0.14116,                0.10616,                 1.3055,                 3.1818,                 1.2072,             0.00017409,             0.00017409,             0.00017409
                     46,                 1.3869,                 2.4348,                 1.1973,                0.92541,                0.09648,                0.14116,                0.10616,                 1.3055,                 3.1818,                 1.2072,             0.00017473,             0.00017473,             0.00017473
                     47,                 1.4372,                 2.4239,                 1.2025,                0.92835,                0.09947,                0.14655,                0.11094,                 1.2771,                 3.0492,                 1.1871,             0.00017525,             0.00017525,             0.00017525
                     48,                 1.3175,                 2.4388,                 1.1867,                0.92835,                0.09947,                0.14655,                0.11094,                 1.2771,                 3.0492,                 1.1871,             0.00017562,             0.00017562,             0.00017562
                     49,                 1.3058,                 2.4007,                 1.1549,                0.93419,                0.11561,                0.15304,                0.12048,                  1.234,                 2.8864,                 1.1543,             0.00017586,             0.00017586,             0.00017586
                     50,                 1.3559,                 2.5207,                 1.1688,                0.93419,                0.11561,                0.15304,                0.12048,                  1.234,                 2.8864,                 1.1543,             0.00017422,             0.00017422,             0.00017422
                     51,                 1.3534,                 2.2953,                 1.1846,                0.87117,                0.12526,                0.15782,                0.12488,                 1.2056,                 2.7613,                 1.1377,             0.00017422,             0.00017422,             0.00017422
                     52,                 1.3483,                 2.2958,                 1.1902,                0.87117,                0.12526,                0.15782,                0.12488,                 1.2056,                 2.7613,                 1.1377,             0.00017081,             0.00017081,             0.00017081
